# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
375000 -0.0133344 0.0133344 0.0560475 100.664
376000 0.00743916 -0.00743916 0.0933507 167.662
377000 -0.00788823 0.00788823 -0.0574182 -103.125
378000 0.00515244 -0.00515244 0.0517692 92.9797
379000 -0.0328756 0.0328756 0.0393766 70.7221
380000 -0.000535051 0.000535051 0.0666238 119.659
381000 -0.0167082 0.0167082 0.00982082 17.6386
382000 -0.0233674 0.0233674 -0.0855411 -153.635
383000 0.0317313 -0.0317313 0.0121014 21.7346
384000 -0.039502 0.039502 0.0309641 55.6128
385000 -0.00573498 0.00573498 0.0320879 57.6313
386000 -0.00209315 0.00209315 0.00107211 1.92556
387000 -0.00240305 0.00240305 0.0132852 23.8608
388000 -0.0435869 0.0435869 0.00402263 7.22481
389000 -0.0189855 0.0189855 0.0472597 84.8805
390000 -0.0137756 0.0137756 -0.0109361 -19.6417
391000 0.0197283 -0.0197283 -0.0334959 -60.1602
392000 -0.00276817 0.00276817 0.0743054 133.456
393000 0.00494203 -0.00494203 -0.0139439 -25.0438
394000 0.0219533 -0.0219533 0.0788118 141.549
395000 -0.00574762 0.00574762 -0.0798954 -143.496
396000 -0.0106052 0.0106052 0.0586088 105.264
397000 -0.0137169 0.0137169 0.053149 95.458
398000 -0.0149956 0.0149956 0.00847963 15.2298
399000 0.0183824 -0.0183824 0.0096209 17.2796
400000 -0.0198597 0.0198597 0.0736783 132.329
401000 0.00894095 -0.00894095 0.0731664 131.41
402000 -0.00054467 0.00054467 -0.00813022 -14.6022
403000 0.0362701 -0.0362701 0.00477656 8.57891
404000 -0.021369 0.021369 0.0219379 39.4014
405000 -0.0112971 0.0112971 0.0745439 133.884
406000 0.0334473 -0.0334473 0.0466145 83.7216
407000 0.0334132 -0.0334132 -0.00132376 -2.37753
408000 -0.0118913 0.0118913 0.0567292 101.888
409000 -0.0293087 0.0293087 -0.0100135 -17.9847
410000 -0.00103732 0.00103732 0.0340481 61.1519
411000 0.0515883 -0.0515883 0.0249416 44.7962
412000 0.0467459 -0.0467459 0.0488474 87.732
413000 0.0172976 -0.0172976 0.0281312 50.5248
414000 0.0260434 -0.0260434 0.00763392 13.7109
415000 0.0643245 -0.0643245 -0.123439 -221.702
416000 0.000355568 -0.000355568 -0.0707415 -127.055
417000 -0.0356826 0.0356826 -0.0081433 -14.6257
418000 0.0100143 -0.0100143 0.0224988 40.4088
419000 0.0283444 -0.0283444 0.0170184 30.5657
420000 0.00624903 -0.00624903 0.0859456 154.362
421000 0.0188465 -0.0188465 0.0463423 83.2328
422000 0.00890003 -0.00890003 0.0676842 121.564
423000 -0.0137875 0.0137875 -0.033429 -60.0399
424000 0.0198443 -0.0198443 -0.0403636 -72.4947
425000 -0.0214673 0.0214673 0.035395 63.5709
426000 -0.0059785 0.0059785 -0.00795943 -14.2955
427000 0.000835572 -0.000835572 -0.0185039 -33.2337
428000 -0.00899452 0.00899452 0.0566815 101.802
429000 0.0530491 -0.0530491 0.000443787 0.79706
430000 -0.0495173 0.0495173 -0.00263751 -4.73709
431000 -0.0221128 0.0221128 0.00285347 5.12495
432000 -0.0313744 0.0313744 0.0101411 18.2139
433000 -0.0272445 0.0272445 0.0773747 138.968
434000 -0.0335172 0.0335172 0.0423331 76.032
435000 -0.00632465 0.00632465 0.0375826 67.5
436000 0.0109461 -0.0109461 -0.0320596 -57.5804
437000 -0.0059675 0.0059675 -0.0053413 -9.5932
438000 -0.0020573 0.0020573 -0.00689916 -12.3912
439000 -0.0109243 0.0109243 -0.0194243 -34.8868
440000 -0.00862965 0.00862965 0.00688763 12.3705
441000 -0.0277909 0.0277909 0.0282049 50.6572
442000 0.00619355 -0.00619355 0.0361358 64.9014
443000 -0.0237141 0.0237141 -0.0903637 -162.297
444000 0.0462404 -0.0462404 -0.0409116 -73.479
445000 0.022575 -0.022575 -0.0502996 -90.3403
446000 -0.00159845 0.00159845 0.060732 109.077
447000 -0.0476222 0.0476222 -0.0283111 -50.848
448000 0.0185405 -0.0185405 0.00572688 10.2857
449000 0.0302988 -0.0302988 -0.0215112 -38.6351
450000 -0.00746542 0.00746542 0.0733564 131.751
451000 0.0164398 -0.0164398 -0.0328058 -58.9207
452000 -0.0285879 0.0285879 0.00774857 13.9168
453000 -0.0235258 0.0235258 -0.0256936 -46.1467
454000 -0.0370319 0.0370319 0.0121455 21.8138
455000 -0.007422 0.007422 0.064208 115.32
456000 -0.0372502 0.0372502 -0.0633798 -113.833
