# Time-averaged data for fix 4
# TimeStep v_sigma_xx_lip v_sigma_yy_lip v_sigma_zz_lip
616000 -0.00169779 0.00169779 0.0118739
617000 0.000293778 -0.000293778 0.0142134
618000 -0.000641643 0.000641643 0.0159144
619000 0.00320859 -0.00320859 0.00541171
620000 0.00178005 -0.00178005 0.0124272
621000 -0.000757157 0.000757157 0.01283
622000 -0.00241397 0.00241397 0.00740441
623000 -0.00120612 0.00120612 0.00929244
624000 0.00161507 -0.00161507 0.00943434
625000 -0.00105955 0.00105955 0.0115531
626000 -0.000200917 0.000200917 0.0208071
627000 0.00274642 -0.00274642 0.0115147
628000 -0.00247077 0.00247077 0.00879719
629000 -0.00240119 0.00240119 0.0175987
630000 0.00262478 -0.00262478 0.0228242
631000 -0.00194242 0.00194242 0.0173158
632000 0.000305996 -0.000305996 0.0114858
633000 0.00163774 -0.00163774 0.015944
634000 -0.00235426 0.00235426 0.0136203
635000 -0.000504672 0.000504672 0.0142135
636000 -0.000591639 0.000591639 0.0170165
637000 -0.000180575 0.000180575 0.0252206
638000 -0.000687161 0.000687161 0.010634
639000 -0.0043372 0.0043372 0.00693668
640000 0.00280808 -0.00280808 5.31039e-05
641000 0.000455914 -0.000455914 0.0120495
642000 0.000142487 -0.000142487 0.00744938
643000 0.00197808 -0.00197808 0.0151796
644000 -0.00165605 0.00165605 0.0200037
645000 0.000336175 -0.000336175 0.0202041
646000 -0.00145285 0.00145285 0.017512
647000 -0.0013653 0.0013653 0.0069276
648000 0.00100979 -0.00100979 0.00114162
649000 -0.00228725 0.00228725 0.00960248
650000 -0.00341393 0.00341393 0.0117879
651000 0.000910524 -0.000910524 0.0214928
652000 -0.00221566 0.00221566 0.016143
653000 0.00096636 -0.00096636 0.0153005
654000 0.000575544 -0.000575544 0.0116479
655000 -0.00151931 0.00151931 0.0132496
656000 -0.000674724 0.000674724 0.0112531
657000 0.000543969 -0.000543969 0.00873853
658000 0.000824751 -0.000824751 0.0110879
659000 0.000233425 -0.000233425 0.00861141
660000 0.00163009 -0.00163009 0.00519827
661000 0.0005984 -0.0005984 8.85041e-06
662000 -0.000215234 0.000215234 0.0137559
663000 -0.00277456 0.00277456 0.0158161
664000 0.000634641 -0.000634641 0.0076372
665000 -0.00193842 0.00193842 0.0153071
666000 -0.00244044 0.00244044 0.0139416
667000 0.00203573 -0.00203573 0.00724609
668000 -0.00209781 0.00209781 0.0129922
669000 -0.00177422 0.00177422 0.0144154
670000 0.00244858 -0.00244858 0.0108699
671000 0.00125719 -0.00125719 0.00880205
672000 -0.00168208 0.00168208 0.0195702
673000 0.00084673 -0.00084673 0.00614875
674000 -0.000118829 0.000118829 0.00941501
675000 0.0040955 -0.0040955 0.0120464
676000 0.000537955 -0.000537955 0.00857824
677000 -0.00118313 0.00118313 -0.000779551
678000 -0.000278511 0.000278511 0.01041
679000 0.00155349 -0.00155349 0.0120587
680000 -0.00375838 0.00375838 0.0141918
681000 0.00103167 -0.00103167 0.0212504
682000 0.000602337 -0.000602337 0.0195418
683000 -0.00231583 0.00231583 0.0164695
684000 -0.00156822 0.00156822 0.0112034
685000 -0.00148647 0.00148647 0.0138902
686000 0.00537299 -0.00537299 0.0113154
687000 -0.00313004 0.00313004 0.0141771
688000 -0.00249244 0.00249244 0.0213298
689000 0.000679423 -0.000679423 0.0186004
690000 0.000987061 -0.000987061 0.0167734
691000 0.000140965 -0.000140965 0.00829898
692000 -0.000951169 0.000951169 0.0127
693000 0.0027657 -0.0027657 0.00532551
694000 0.000581332 -0.000581332 0.01257
695000 -0.00102058 0.00102058 0.0125703
696000 -0.00187354 0.00187354 0.00295234
697000 -0.00173149 0.00173149 0.0151399
698000 0.00350312 -0.00350312 0.0101036
699000 0.000565145 -0.000565145 0.00336592
700000 0.000668931 -0.000668931 0.0132498
701000 8.99276e-06 -8.99276e-06 0.00665451
702000 -0.00198978 0.00198978 0.0204979
703000 -0.000247437 0.000247437 0.0129849
704000 0.0022265 -0.0022265 -0.000869559
705000 -0.00199618 0.00199618 0.00484657
706000 0.001938 -0.001938 0.0161858
707000 -0.000519893 0.000519893 0.0140604
708000 0.00507151 -0.00507151 0.016262
709000 -0.000822212 0.000822212 0.00542433
710000 -0.000458935 0.000458935 0.00537395
711000 0.000738218 -0.000738218 0.00808915
712000 0.000581862 -0.000581862 0.00712768
713000 -0.000726314 0.000726314 0.00677591
714000 0.00173339 -0.00173339 0.0100235
715000 0.000190598 -0.000190598 0.00930255
716000 0.000130839 -0.000130839 0.00924316
717000 -0.00110759 0.00110759 0.00816204
718000 -0.0021293 0.0021293 0.00995576
719000 0.00104326 -0.00104326 0.0143994
720000 -0.0038288 0.0038288 0.00608283
721000 0.000811867 -0.000811867 0.015291
722000 -0.00179193 0.00179193 0.0115473
723000 0.00160228 -0.00160228 0.0170892
